path	status	expected	reason
gcc/testsuite/gcc.dg/20011015-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/20011021-1.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/20031222-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/20050922-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/20050922-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/20090922-1.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wc90-c99-compat-2.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wc90-c99-compat-9.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wc99-c11-compat-2.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wc99-c11-compat-4.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wc99-c11-compat-7.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wconversion-complex-c99.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/Wconversion-complex-gnu.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/Wconversion-integer-no-sign.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/Wconversion-integer.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/Wconversion-real-integer.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/Wdeclaration-after-statement-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/Wdeclaration-after-statement-3.c	skipped	reject	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wdesignated-init.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/Wimplicit-function-declaration-c99-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wimplicit-function-declaration-c99-pedantic.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wimplicit-function-declaration-c99.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wjump-misses-init-2.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c99-asm.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c99-ext.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c99-no.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c99.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wparentheses-10.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wparentheses-3.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wsign-conversion.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wstrict-aliasing-bogus-vla-1.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wtraditional-conversion-2.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/Wunsuffixed-float-constants-1.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wunused-var-4.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wvla-2.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Wvla-4.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/anon-struct-5.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/array-const-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/array-const-2.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/array-const-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/asm-hard-reg-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/asm-hard-reg-error-3.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/asm-qual-1.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/asm-qual-2.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/asm-qual-3.c	imported-reject	reject	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/assign-warn-3.c	imported-accept	accept	explicit C99/GNU99 frontend case
gcc/testsuite/gcc.dg/attr-alias-5.c	imported-reject	reject	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/attr-ms_struct-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/attr-ms_struct-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/attr-ms_struct-packed1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/binary-constants-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/binary-constants-2.c	imported-accept	accept	explicit C99/GNU99 frontend case after preprocessing
gcc/testsuite/gcc.dg/binary-constants-3.c	skipped	reject	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/binary-constants-4.c	skipped	reject	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/builtin-stringop-chk-1.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/builtin-strncat-chk-1.c	imported-accept	accept	GCC builtin frontend model
